subTopicID	resultID
45.0	45.1
45.0	45.10
45.0	45.100
45.0	45.11
45.0	45.12
45.0	45.13
45.0	45.15
45.0	45.16
45.0	45.17
45.0	45.18
45.0	45.19
45.0	45.2
45.0	45.20
45.0	45.21
45.0	45.22
45.0	45.23
45.0	45.24
45.0	45.25
45.0	45.26
45.0	45.27
45.0	45.28
45.0	45.29
45.0	45.3
45.0	45.30
45.0	45.31
45.0	45.33
45.0	45.34
45.0	45.35
45.0	45.36
45.0	45.37
45.0	45.38
45.0	45.39
45.0	45.4
45.0	45.40
45.0	45.41
45.0	45.42
45.0	45.43
45.0	45.44
45.0	45.45
45.0	45.46
45.0	45.48
45.0	45.5
45.0	45.50
45.0	45.52
45.0	45.53
45.0	45.54
45.0	45.55
45.0	45.56
45.0	45.57
45.0	45.58
45.0	45.59
45.0	45.6
45.0	45.61
45.0	45.62
45.0	45.63
45.0	45.64
45.0	45.65
45.0	45.66
45.0	45.67
45.0	45.68
45.0	45.69
45.0	45.7
45.0	45.71
45.0	45.72
45.0	45.73
45.0	45.74
45.0	45.75
45.0	45.76
45.0	45.77
45.0	45.78
45.0	45.79
45.0	45.8
45.0	45.80
45.0	45.81
45.0	45.83
45.0	45.84
45.0	45.85
45.0	45.86
45.0	45.87
45.0	45.89
45.0	45.9
45.0	45.90
45.0	45.91
45.0	45.92
45.0	45.93
45.0	45.94
45.0	45.95
45.0	45.96
45.0	45.97
45.0	45.98
45.0	45.99
45.1	45.32
45.2	45.51
45.3	45.88
45.4	45.49
45.5	45.70
45.6	45.60
45.7	45.82
45.8	45.47
45.9	45.14
46.0	46.1
46.0	46.10
46.0	46.100
46.0	46.11
46.0	46.12
46.0	46.13
46.0	46.14
46.0	46.15
46.0	46.17
46.0	46.18
46.0	46.19
46.0	46.2
46.0	46.20
46.0	46.21
46.0	46.22
46.0	46.23
46.0	46.24
46.0	46.25
46.0	46.26
46.0	46.27
46.0	46.28
46.0	46.29
46.0	46.3
46.0	46.30
46.0	46.31
46.0	46.33
46.0	46.34
46.0	46.37
46.0	46.38
46.0	46.39
46.0	46.4
46.0	46.40
46.0	46.41
46.0	46.42
46.0	46.43
46.0	46.45
46.0	46.46
46.0	46.47
46.0	46.48
46.0	46.49
46.0	46.5
46.0	46.50
46.0	46.51
46.0	46.52
46.0	46.53
46.0	46.54
46.0	46.55
46.0	46.56
46.0	46.57
46.0	46.58
46.0	46.59
46.0	46.6
46.0	46.60
46.0	46.61
46.0	46.62
46.0	46.63
46.0	46.64
46.0	46.65
46.0	46.66
46.0	46.67
46.0	46.68
46.0	46.69
46.0	46.7
46.0	46.71
46.0	46.72
46.0	46.73
46.0	46.74
46.0	46.75
46.0	46.76
46.0	46.77
46.0	46.78
46.0	46.79
46.0	46.8
46.0	46.80
46.0	46.81
46.0	46.82
46.0	46.83
46.0	46.84
46.0	46.85
46.0	46.86
46.0	46.88
46.0	46.89
46.0	46.9
46.0	46.90
46.0	46.91
46.0	46.92
46.0	46.93
46.0	46.94
46.0	46.95
46.0	46.98
46.0	46.99
46.1	46.16
46.1	46.35
46.1	46.87
46.2	46.32
46.2	46.36
46.3	46.70
46.4	46.96
46.5	46.44
46.6	46.97
47.0	47.10
47.0	47.100
47.0	47.11
47.0	47.12
47.0	47.13
47.0	47.15
47.0	47.16
47.0	47.17
47.0	47.18
47.0	47.19
47.0	47.2
47.0	47.20
47.0	47.21
47.0	47.23
47.0	47.24
47.0	47.25
47.0	47.26
47.0	47.27
47.0	47.28
47.0	47.29
47.0	47.3
47.0	47.30
47.0	47.31
47.0	47.32
47.0	47.33
47.0	47.34
47.0	47.35
47.0	47.36
47.0	47.37
47.0	47.38
47.0	47.39
47.0	47.4
47.0	47.40
47.0	47.41
47.0	47.42
47.0	47.43
47.0	47.44
47.0	47.45
