subTopicID	resultID
45.0	45.1
45.0	45.10
45.0	45.19
45.0	45.20
45.0	45.22
45.0	45.3
45.0	45.4
45.0	45.51
45.0	45.54
45.0	45.59
45.0	45.6
45.0	45.60
45.0	45.68
45.0	45.72
45.1	45.39
45.1	45.41
45.1	45.48
45.1	45.5
45.1	45.52
45.1	45.61
45.1	45.79
45.1	45.95
45.10	45.2
45.10	45.28
45.10	45.42
45.10	45.53
45.10	45.55
45.10	45.62
45.10	45.75
45.10	45.87
45.10	45.91
45.10	45.97
45.11	45.88
45.12	45.12
45.12	45.32
45.12	45.43
45.12	45.50
45.12	45.66
45.12	45.78
45.12	45.83
45.12	45.86
45.12	45.90
45.12	45.94
45.12	45.96
45.2	45.11
45.2	45.24
45.3	45.13
45.4	45.14
45.4	45.63
45.5	45.100
45.5	45.15
45.5	45.17
45.5	45.18
45.5	45.23
45.5	45.26
45.5	45.27
45.5	45.30
45.5	45.35
45.5	45.37
45.5	45.38
45.5	45.40
45.5	45.44
45.5	45.45
45.5	45.65
45.5	45.67
45.5	45.69
45.5	45.7
45.5	45.74
45.5	45.76
45.5	45.77
45.5	45.8
45.5	45.80
45.5	45.81
45.5	45.84
45.5	45.9
45.5	45.98
45.6	45.16
45.7	45.21
45.7	45.29
45.8	45.25
45.8	45.31
45.8	45.33
45.8	45.34
45.8	45.46
45.8	45.47
45.8	45.57
45.8	45.70
45.8	45.71
45.8	45.89
45.8	45.99
45.9	45.36
45.9	45.49
45.9	45.56
45.9	45.58
45.9	45.64
45.9	45.73
45.9	45.82
45.9	45.85
45.9	45.92
45.9	45.93
46.0	46.1
46.0	46.19
46.0	46.32
46.0	46.33
46.0	46.36
46.0	46.43
46.0	46.47
46.0	46.59
46.0	46.64
46.0	46.78
46.1	46.10
46.1	46.15
46.1	46.21
46.1	46.23
46.1	46.24
46.1	46.25
46.1	46.29
46.1	46.37
46.1	46.4
46.1	46.40
46.1	46.42
46.1	46.50
46.1	46.6
46.1	46.61
46.1	46.70
46.1	46.76
46.1	46.80
46.1	46.81
46.1	46.87
46.1	46.98
46.10	46.63
46.11	46.69
46.12	46.73
46.13	46.12
46.13	46.13
46.13	46.2
46.13	46.55
46.13	46.67
46.13	46.72
46.13	46.74
46.13	46.79
46.13	46.82
46.13	46.88
46.13	46.93
46.14	46.30
46.14	46.49
46.14	46.51
46.14	46.53
46.14	46.57
46.14	46.92
46.14	46.94
46.14	46.97
46.2	46.16
46.3	46.22
46.4	46.27
46.4	46.3
46.4	46.31
46.5	46.20
46.5	46.28
46.5	46.34
46.5	46.35
46.5	46.38
46.5	46.52
46.5	46.54
46.5	46.65
46.5	46.71
46.5	46.75
46.5	46.77
46.5	46.85
46.5	46.89
46.6	46.17
46.6	46.39
46.6	46.44
46.6	46.45
46.6	46.7
46.7	46.14
46.7	46.41
46.7	46.46
46.7	46.48
46.7	46.5
46.7	46.60
46.7	46.66
46.7	46.68
46.7	46.8
46.7	46.83
46.7	46.84
46.7	46.86
46.7	46.9
46.7	46.90
46.7	46.99
46.8	46.58
46.9	46.100
46.9	46.11
46.9	46.18
46.9	46.26
46.9	46.56
46.9	46.62
46.9	46.91
46.9	46.95
46.9	46.96
47.0	47.22
47.1	47.24
47.10	47.70
47.11	47.12
47.11	47.18
47.11	47.19
47.11	47.20
47.11	47.29
47.11	47.33
47.11	47.35
47.11	47.36
47.11	47.41
47.11	47.49
47.11	47.50
47.11	47.51
47.11	47.58
47.11	47.6
47.11	47.71
47.11	47.72
47.11	47.73
47.11	47.75
47.11	47.82
47.11	47.83
47.11	47.94
47.11	47.95
47.11	47.96
47.12	47.2
47.12	47.31
47.12	47.39
47.12	47.57
47.12	47.89
47.12	47.9
47.12	47.98
47.13	47.1
47.13	47.21
47.13	47.26
47.13	47.4
47.13	47.44
