subTopicID	resultID
45.0	45.11
45.0	45.13
45.0	45.14
45.0	45.16
45.0	45.21
45.0	45.24
45.0	45.28
45.0	45.29
45.0	45.39
45.0	45.42
45.0	45.53
45.0	45.55
45.0	45.62
45.0	45.75
45.0	45.87
45.0	45.88
45.0	45.97
45.1	45.100
45.1	45.15
45.1	45.17
45.1	45.18
45.1	45.2
45.1	45.26
45.1	45.30
45.1	45.36
45.1	45.37
45.1	45.38
45.1	45.40
45.1	45.41
45.1	45.44
45.1	45.45
45.1	45.48
45.1	45.49
45.1	45.5
45.1	45.50
45.1	45.52
45.1	45.56
45.1	45.58
45.1	45.6
45.1	45.61
45.1	45.63
45.1	45.64
45.1	45.65
45.1	45.69
45.1	45.7
45.1	45.73
45.1	45.74
45.1	45.77
45.1	45.79
45.1	45.8
45.1	45.80
45.1	45.81
45.1	45.82
45.1	45.84
45.1	45.85
45.1	45.9
45.1	45.91
45.1	45.92
45.1	45.93
45.1	45.94
45.1	45.95
45.2	45.1
45.2	45.10
45.2	45.12
45.2	45.19
45.2	45.20
45.2	45.22
45.2	45.23
45.2	45.25
45.2	45.27
45.2	45.3
45.2	45.31
45.2	45.32
45.2	45.33
45.2	45.34
45.2	45.35
45.2	45.4
45.2	45.43
45.2	45.46
45.2	45.47
45.2	45.51
45.2	45.54
45.2	45.57
45.2	45.59
45.2	45.60
45.2	45.66
45.2	45.67
45.2	45.68
45.2	45.70
45.2	45.71
45.2	45.72
45.2	45.76
45.2	45.78
45.2	45.83
45.2	45.86
45.2	45.89
45.2	45.90
45.2	45.96
45.2	45.98
45.2	45.99
46.0	46.1
46.0	46.10
46.0	46.12
46.0	46.13
46.0	46.15
46.0	46.19
46.0	46.2
46.0	46.23
46.0	46.24
46.0	46.25
46.0	46.28
46.0	46.29
46.0	46.32
46.0	46.33
46.0	46.34
46.0	46.35
46.0	46.36
46.0	46.37
46.0	46.40
46.0	46.42
46.0	46.43
46.0	46.50
46.0	46.51
46.0	46.52
46.0	46.54
46.0	46.55
46.0	46.59
46.0	46.61
46.0	46.64
46.0	46.70
46.0	46.71
46.0	46.72
46.0	46.74
46.0	46.75
46.0	46.76
46.0	46.77
46.0	46.78
46.0	46.79
46.0	46.80
46.0	46.81
46.0	46.82
46.0	46.85
46.0	46.87
46.0	46.88
46.0	46.89
46.0	46.9
46.0	46.98
46.1	46.100
46.1	46.11
46.1	46.17
46.1	46.18
46.1	46.20
46.1	46.26
46.1	46.30
46.1	46.38
46.1	46.39
46.1	46.44
46.1	46.45
46.1	46.49
46.1	46.53
46.1	46.56
46.1	46.57
46.1	46.6
46.1	46.62
46.1	46.65
46.1	46.7
46.1	46.91
46.1	46.92
46.1	46.93
46.1	46.94
46.1	46.95
46.1	46.96
46.1	46.97
46.2	46.14
46.2	46.16
46.2	46.21
46.2	46.22
46.2	46.27
46.2	46.3
46.2	46.31
46.2	46.4
46.2	46.41
46.2	46.46
46.2	46.47
46.2	46.48
46.2	46.5
46.2	46.58
46.2	46.60
46.2	46.63
46.2	46.66
46.2	46.67
46.2	46.68
46.2	46.69
46.2	46.73
46.2	46.8
46.2	46.83
46.2	46.84
46.2	46.86
46.2	46.90
46.2	46.99
47.0	47.100
47.0	47.18
47.0	47.22
47.0	47.23
47.0	47.24
47.0	47.27
47.0	47.28
47.0	47.3
47.0	47.32
47.0	47.34
47.0	47.35
