subTopicID	resultID
45.0	45.1
45.0	45.10
45.0	45.20
45.0	45.22
45.0	45.3
45.0	45.4
45.0	45.51
45.0	45.54
45.0	45.59
45.0	45.60
45.0	45.68
45.0	45.72
45.1	45.13
45.1	45.16
45.1	45.28
45.1	45.39
45.1	45.42
45.1	45.53
45.1	45.55
45.1	45.62
45.1	45.75
45.1	45.87
45.1	45.88
45.1	45.97
45.2	45.17
45.2	45.37
45.2	45.6
45.2	45.80
45.2	45.84
45.3	45.100
45.3	45.15
45.3	45.18
45.3	45.23
45.3	45.27
45.3	45.30
45.3	45.35
45.3	45.38
45.3	45.40
45.3	45.44
45.3	45.52
45.3	45.56
45.3	45.67
45.3	45.69
45.3	45.76
45.3	45.77
45.3	45.8
45.3	45.86
45.3	45.9
45.3	45.98
45.4	45.21
45.4	45.29
45.5	45.14
45.5	45.45
45.5	45.49
45.5	45.50
45.5	45.63
45.5	45.65
45.5	45.91
45.5	45.92
45.5	45.95
45.6	45.2
45.6	45.26
45.6	45.36
45.6	45.41
45.6	45.48
45.6	45.5
45.6	45.58
45.6	45.61
45.6	45.64
45.6	45.7
45.6	45.74
45.6	45.79
45.6	45.81
45.6	45.82
45.6	45.85
45.6	45.93
45.6	45.94
45.7	45.11
45.7	45.24
45.8	45.12
45.8	45.19
45.8	45.25
45.8	45.31
45.8	45.32
45.8	45.33
45.8	45.34
45.8	45.43
45.8	45.46
45.8	45.47
45.8	45.57
45.8	45.66
45.8	45.70
45.8	45.71
45.8	45.73
45.8	45.78
45.8	45.83
45.8	45.89
45.8	45.90
45.8	45.96
45.8	45.99
46.0	46.30
46.0	46.44
46.0	46.53
46.0	46.57
46.0	46.94
46.0	46.97
46.1	46.27
46.1	46.31
46.1	46.48
46.1	46.5
46.1	46.60
46.1	46.83
46.1	46.86
46.1	46.9
46.1	46.99
46.10	46.17
46.10	46.39
46.10	46.45
46.10	46.7
46.11	46.10
46.11	46.14
46.11	46.25
46.11	46.29
46.11	46.37
46.11	46.4
46.11	46.43
46.11	46.61
46.11	46.76
46.11	46.77
46.11	46.80
46.11	46.87
46.11	46.98
46.2	46.32
46.2	46.51
46.2	46.55
46.2	46.64
46.2	46.79
46.2	46.82
46.2	46.88
46.2	46.93
46.3	46.1
46.3	46.12
46.3	46.15
46.3	46.19
46.3	46.23
46.3	46.24
46.3	46.28
46.3	46.33
46.3	46.34
46.3	46.40
46.3	46.42
46.3	46.50
46.3	46.54
46.3	46.59
46.3	46.70
46.3	46.71
46.3	46.72
46.3	46.78
46.3	46.85
46.3	46.89
46.4	46.73
46.5	46.100
46.5	46.11
46.5	46.18
46.5	46.20
46.5	46.26
46.5	46.35
46.5	46.38
46.5	46.49
46.5	46.56
46.5	46.6
46.5	46.62
46.5	46.65
46.5	46.75
46.5	46.81
46.5	46.91
46.5	46.92
46.5	46.95
46.5	46.96
46.6	46.13
46.6	46.2
46.6	46.21
46.6	46.36
46.6	46.47
46.6	46.52
46.6	46.67
46.6	46.74
46.7	46.22
46.7	46.63
46.8	46.58
46.9	46.16
46.9	46.3
46.9	46.41
46.9	46.46
46.9	46.66
46.9	46.68
46.9	46.69
46.9	46.8
46.9	46.84
46.9	46.90
47.0	47.11
47.0	47.12
47.0	47.14
47.0	47.29
47.0	47.30
47.0	47.33
47.0	47.37
47.0	47.38
47.0	47.41
47.0	47.43
47.0	47.52
47.0	47.55
47.0	47.58
47.0	47.62
47.0	47.69
47.0	47.71
47.0	47.72
47.0	47.75
47.0	47.8
47.0	47.87
47.0	47.90
47.0	47.94
47.0	47.95
47.1	47.1
47.1	47.13
47.1	47.15
47.1	47.16
47.1	47.19
47.1	47.20
47.1	47.25
47.1	47.45
47.1	47.48
47.1	47.50
47.1	47.6
47.1	47.60
47.1	47.63
47.1	47.66
47.1	47.74
